"lot_number","qc_name","analyte","concentration","unit","qc_type","manufacturer","cat_number","expiration_date","preparation_date","note"
"A00C0745","V-PLEX Proinfammatory P1  QC3 (L)","TNF-a","2.15","pg/ml","Purchased","Mesoscale","C4049-1","2025-12-31","",""
"Prep20210907_BAFF-H","ELISA BAFF QC1 (H)","BAFF","2193","","Home made","","","","2021-09-07","prep by Jihène. Use Std"
"Prep20210907_BAFF-M","ELISA BAFF QC2 (M)","BAFF","1138","","Home made","","","","2021-09-07","prep by Jihène. Use Std"
"Prep20210907_BAFF-L","ELISA BAFF QC3 (L)","BAFF","472","","Home made","","","","2021-09-07","prep by Jihène. Use Std"
"Prep20210908_BAFF-H","ELISA BAFF QC1 (H)","BAFF","2193","","Home made","","","","2021-09-08","prep by Jihène. Use Std"
"Prep20210908_BAFF-M","ELISA BAFF QC2 (M)","BAFF","1138","","Home made","","","","2021-09-08","prep by Jihène. Use Std"
"Prep20210908_BAFF-L","ELISA BAFF QC3 (L)","BAFF","472","","Home made","","","","2021-09-08","prep by Jihène. Use Std"
"Prep20211014_splex-IL-1b-H","S-PLEX IL-1b QC1 (H)","IL-1b","16111.11","fg/ml","Home made","","Ry_MSD_QC_SplexIL-1b","","2021-10-14",""
"Prep20211014_splex-IL-1b-M","S-PLEX IL-1b QC2 (M)","IL-1b","1611.11","fg/ml","Home made","","Ry_MSD_QC_SplexIL-1b","","2021-10-14",""
"Prep20211014_splex-IL-1b-L","S-PLEX IL-1b QC3 (L)","IL-1b","161.11","fg/ml","Home made","","Ry_MSD_QC_SplexIL-1b","","2021-10-14",""
"FreshApoE-H_3.2","ELISA ApoE QC1 (H)","ApoE","3.2","µg/ml","Home made","","","","","exp20211117"
"FreshApoE-M_1.6","ELISA ApoE QC2 (M)","ApoE","1.6","µg/ml","Home made","","","","","exp20211117"
"FreshApoE-L_0.32","ELISA ApoE QC3 (L)","ApoE","0.32","µg/ml","Home made","","","","","exp20211117"
"A00C0749","V-PLEX Vascular Injury P2 QC1 (H)","SAA","48900","pg/ml","Purchased","Mesoscale","","2023-06-30","",""
"A00C0749","V-PLEX Vascular Injury P2 QC1 (H)","CRP","26100","pg/ml","Purchased","Mesoscale","","2023-06-30","",""
"A00C0749","V-PLEX Vascular Injury P2 QC1 (H)","VCAM-1","13500","pg/ml","Purchased","Mesoscale","","2023-06-30","",""
"A00C0749","V-PLEX Vascular Injury P2 QC1 (H)","ICAM-1","12700","pg/ml","Purchased","Mesoscale","","2023-06-30","",""
"A00C0750","V-PLEX Vascular Injury P2 QC2 (M)","SAA","4460","pg/ml","Purchased","Mesoscale","","2023-06-30","",""
"A00C0750","V-PLEX Vascular Injury P2 QC2 (M)","CRP","4890","pg/ml","Purchased","Mesoscale","","2023-06-30","",""
"A00C0750","V-PLEX Vascular Injury P2 QC2 (M)","VCAM-1","1150","pg/ml","Purchased","Mesoscale","","2023-06-30","",""
"A00C0750","V-PLEX Vascular Injury P2 QC2 (M)","ICAM-1","1260","pg/ml","Purchased","Mesoscale","","2023-06-30","",""
"A00C0751","V-PLEX Vascular Injury P2 QC3 (L)","SAA","548","pg/ml","Purchased","Mesoscale","","2023-06-30","",""
"A00C0751","V-PLEX Vascular Injury P2 QC3 (L)","CRP","630","pg/ml","Purchased","Mesoscale","","2023-06-30","",""
"A00C0751","V-PLEX Vascular Injury P2 QC3 (L)","VCAM-1","141","pg/ml","Purchased","Mesoscale","","2023-06-30","",""
"A00C0751","V-PLEX Vascular Injury P2 QC3 (L)","ICAM-1","144","pg/ml","Purchased","Mesoscale","","2023-06-30","",""
"A00C0777","V-PLEX Chemokine P1 QC1 (H)","Eotaxin","1760","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0777","V-PLEX Chemokine P1 QC1 (H)","MIP-1b","690","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0777","V-PLEX Chemokine P1 QC1 (H)","Eotaxin-3","3350","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0777","V-PLEX Chemokine P1 QC1 (H)","TARC","2240","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0777","V-PLEX Chemokine P1 QC1 (H)","IP-10","599","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0777","V-PLEX Chemokine P1 QC1 (H)","MIP-1a","925","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0777","V-PLEX Chemokine P1 QC1 (H)","IL-8(HA)","65000","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0777","V-PLEX Chemokine P1 QC1 (H)","MCP-1","464","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0777","V-PLEX Chemokine P1 QC1 (H)","MDC","3870","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0777","V-PLEX Chemokine P1 QC1 (H)","MCP-4","670","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0766","V-PLEX Chemokine P1 QC2 (M)","Eotaxin","634","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0766","V-PLEX Chemokine P1 QC2 (M)","MIP-1b","122","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0766","V-PLEX Chemokine P1 QC2 (M)","Eotaxin-3","511","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0766","V-PLEX Chemokine P1 QC2 (M)","TARC","278","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0766","V-PLEX Chemokine P1 QC2 (M)","IP-10","104","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0766","V-PLEX Chemokine P1 QC2 (M)","MIP-1a","412","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
